Song,Album,Lyric,Previous Lyric,Next Lyric,Multiplicity
Wait On,FLOWERS for VASES / descansos,All the feelings it's been holding,And sometimes feel the need to pour out,"But either way, it never comes down",1
Wait On,FLOWERS for VASES / descansos,"But either way, it never comes down",All the feelings it's been holding,It knows its place and knows a way around the clouds,1
Wait On,FLOWERS for VASES / descansos,It knows its place and knows a way around the clouds,"But either way, it never comes down",And their design,1
Wait On,FLOWERS for VASES / descansos,And their design,It knows its place and knows a way around the clouds,,1
Wait On,FLOWERS for VASES / descansos,For every fairytale untrue,,And all the hearts yet to be broken,1
Wait On,FLOWERS for VASES / descansos,And all the hearts yet to be broken,For every fairytale untrue,For every bird who never flew,1
Wait On,FLOWERS for VASES / descansos,For every bird who never flew,And all the hearts yet to be broken,"Well, it's a wonder we keep going without you",1
Wait On,FLOWERS for VASES / descansos,"Well, it's a wonder we keep going without you",For every bird who never flew,,1
Wait On,FLOWERS for VASES / descansos,The sky still wakes up every morning,,And sometimes feels the need to pour out,1
Wait On,FLOWERS for VASES / descansos,And sometimes feels the need to pour out,The sky still wakes up every morning,Evеrything it's tired of holding,1
Wait On,FLOWERS for VASES / descansos,Evеrything it's tired of holding,And sometimes feels the need to pour out,"But either way, it nеver comes down",1
Wait On,FLOWERS for VASES / descansos,"But either way, it nеver comes down",Evеrything it's tired of holding,It's gonna stay and find a way around the clouds,1
Wait On,FLOWERS for VASES / descansos,It's gonna stay and find a way around the clouds,"But either way, it nеver comes down",You might also like[Outro],1
Wait On,FLOWERS for VASES / descansos,You might also like[Outro],It's gonna stay and find a way around the clouds,There was a bird who never flew,1
Wait On,FLOWERS for VASES / descansos,There was a bird who never flew,You might also like[Outro],But she still kept all of her feathers,1
Wait On,FLOWERS for VASES / descansos,But she still kept all of her feathers,There was a bird who never flew,So she could pluck 'em out for you,1
Wait On,FLOWERS for VASES / descansos,So she could pluck 'em out for you,But she still kept all of her feathers,And you could wear them in your hair and,1
Wait On,FLOWERS for VASES / descansos,And you could wear them in your hair and,So she could pluck 'em out for you,She'd be with you,1
Wait On,FLOWERS for VASES / descansos,She'd be with you,And you could wear them in your hair and,,1
Cinnamon,Petals for Armor,"Ah, ah-ooh",,"Ooh-ah, ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah","Ah, ah-ooh","Ah, ah-ooh",1
Cinnamon,Petals for Armor,"Ah, ah-ooh","Ooh-ah, ah-ah-ah","Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh",,2
Cinnamon,Petals for Armor,On the walls of my home,,There are signs that I'm alone,1
Cinnamon,Petals for Armor,There are signs that I'm alone,On the walls of my home,I keep on every light,1
Cinnamon,Petals for Armor,I keep on every light,There are signs that I'm alone,"Talk to my dog, he don't mind (Ooh-ooh-ooh)",1
Cinnamon,Petals for Armor,"Talk to my dog, he don't mind (Ooh-ooh-ooh)",I keep on every light,,1
Cinnamon,Petals for Armor,"Ah, ah-ooh",,"Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh","Ah, ah-ooh",1
Cinnamon,Petals for Armor,"Ah, ah-ooh","Ooh-ah, ah-ah-ah-ah","Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,Eat my breakfast in the nude,,"Lemon water, living room",1
Cinnamon,Petals for Armor,"Lemon water, living room",Eat my breakfast in the nude,Home is where I'm feminine,1
Cinnamon,Petals for Armor,Home is where I'm feminine,"Lemon water, living room",Smells like citrus and cinnamon,1
Cinnamon,Petals for Armor,Smells like citrus and cinnamon,Home is where I'm feminine,,1
Cinnamon,Petals for Armor,"Ah, ah-ooh (Cinnamon, cinnamon)",,"Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh (Cinnamon, cinnamon)","Ah, ah-ooh (Cinnamon, cinnamon)",3
Cinnamon,Petals for Armor,"Ah, ah-ooh (Cinnamon, cinnamon)","Ooh-ah, ah-ah-ah-ah","Ooh-ah, ah-ah-ah-ah",3
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh (Cinnamon, cinnamon)","Ah-ah-ah-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ah-ah-ah-ah, ah-ah-ah-ah","Ooh-ah, ah-ah-ah-ah",You might also like[Bridge],1
Cinnamon,Petals for Armor,You might also like[Bridge],"Ah-ah-ah-ah, ah-ah-ah-ah",I'm not lonely,1
Cinnamon,Petals for Armor,I'm not lonely,You might also like[Bridge],I am free,1
Cinnamon,Petals for Armor,I am free,I'm not lonely,But if I let you in,1
Cinnamon,Petals for Armor,But if I let you in,I am free,You would never wanna leave,1
Cinnamon,Petals for Armor,You would never wanna leave,But if I let you in,"(If I let you in, if I let you in)",1
Cinnamon,Petals for Armor,"(If I let you in, if I let you in)",You would never wanna leave,If ever I let you in,1
Cinnamon,Petals for Armor,If ever I let you in,"(If I let you in, if I let you in)",Cinnamon,1
Cinnamon,Petals for Armor,Cinnamon,If ever I let you in,"I'm not lonely, baby, I am free",1
Cinnamon,Petals for Armor,"I'm not lonely, baby, I am free",Cinnamon,"Mmm, finally",1
Cinnamon,Petals for Armor,"Mmm, finally","I'm not lonely, baby, I am free","I'm not lonely, babe, I am free",1
Cinnamon,Petals for Armor,"I'm not lonely, babe, I am free","Mmm, finally",,1
Cinnamon,Petals for Armor,"Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)",,"Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)","Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)",1
Cinnamon,Petals for Armor,"Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)","Ooh-ah, ah-ah-ah-ah","Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","Ah, ah-ooh (I'm not lonely, babe; cinnamon, cinnamon)",,1
Cinnamon,Petals for Armor,"If I let you in, cinnamon",,"If I let you in, cinnamon",1
Cinnamon,Petals for Armor,"If I let you in, cinnamon","If I let you in, cinnamon","Ooh-ah, ah-ah-ah-ah",1
Cinnamon,Petals for Armor,"Ooh-ah, ah-ah-ah-ah","If I let you in, cinnamon",,1
Creepin’,Petals for Armor,"Batty pair of eyes, creepin'",,Aiming like a laser pointer,1
Creepin’,Petals for Armor,Aiming like a laser pointer,"Batty pair of eyes, creepin'",Poor little vampire baby,1
Creepin’,Petals for Armor,Poor little vampire baby,Aiming like a laser pointer,We bleed holy water,1
Creepin’,Petals for Armor,We bleed holy water,Poor little vampire baby,,1
Creepin’,Petals for Armor,So why you creepin' 'round here?,,(Why you creepin'? Why you creepin'?),2
Creepin’,Petals for Armor,(Why you creepin'? Why you creepin'?),So why you creepin' 'round here?,Why you creepin' 'round?,1
Creepin’,Petals for Armor,Why you creepin' 'round?,(Why you creepin'? Why you creepin'?),,3
Creepin’,Petals for Armor,Strange you're not a threat to me,,And I admire your dedication,1
Creepin’,Petals for Armor,And I admire your dedication,Strange you're not a threat to me,Poor little vampire,1
Creepin’,Petals for Armor,Poor little vampire,And I admire your dedication,Don't you know,1
Creepin’,Petals for Armor,Don't you know,Poor little vampire,That I'm a moon in daylight?,1
Creepin’,Petals for Armor,That I'm a moon in daylight?,Don't you know,,1
Creepin’,Petals for Armor,Why you creepin' 'round here?,,(Why you creepin'? Why you creepin'?),1
Creepin’,Petals for Armor,(Why you creepin'? Why you creepin'?),Why you creepin' 'round here?,Why you creepin' 'round here?,1
Creepin’,Petals for Armor,Why you creepin' 'round here?,(Why you creepin'? Why you creepin'?),(Why you creepin'? Why you creepin'?),2
Creepin’,Petals for Armor,(Why you creepin'? Why you creepin'?),Why you creepin' 'round here?,Why you creepin' 'round?,2
Creepin’,Petals for Armor,It always starts as something so simple and innocent but,,"Too much of anything, you'll never know how to quit, ah",1
Creepin’,Petals for Armor,"Too much of anything, you'll never know how to quit, ah",It always starts as something so simple and innocent but,You had a taste but you don't want to forget it,1
Creepin’,Petals for Armor,You had a taste but you don't want to forget it,"Too much of anything, you'll never know how to quit, ah","Oh, just keep on suckin' on the memory of him",1
Creepin’,Petals for Armor,"Oh, just keep on suckin' on the memory of him",You had a taste but you don't want to forget it,You might also like[Bridge],1
Creepin’,Petals for Armor,You might also like[Bridge],"Oh, just keep on suckin' on the memory of him",Creepin',1
Creepin’,Petals for Armor,Creepin',You might also like[Bridge],Creepin' (Why you),1
Creepin’,Petals for Armor,Creepin' (Why you),Creepin',Creepin',1
Creepin’,Petals for Armor,Creepin',Creepin' (Why you),,1
Creepin’,Petals for Armor,(Why you creepin'? Why you creepin'?),So why you creepin' 'round here?,Why you creepin' 'round here?,1
Creepin’,Petals for Armor,It always starts as something so simple and innocent but,,"Too much of anything you'll never know how to quit, ah",1
Creepin’,Petals for Armor,"Too much of anything you'll never know how to quit, ah",It always starts as something so simple and innocent but,You had a taste but you don't want to forget it,1
Creepin’,Petals for Armor,You had a taste but you don't want to forget it,"Too much of anything you'll never know how to quit, ah","Oh, just keep on suckin' on the memory of him",1
Creepin’,Petals for Armor,"Oh, just keep on suckin' on the memory of him",You had a taste but you don't want to forget it,,1
Creepin’,Petals for Armor,Creepin',,Why you creepin'?,1
Creepin’,Petals for Armor,Why you creepin'?,Creepin',Why you creepin'?,1
Creepin’,Petals for Armor,Why you creepin'?,Why you creepin'?,So why you creepin' 'round here?,1
Creepin’,Petals for Armor,So why you creepin' 'round here?,Why you creepin'?,,1
Crystal Clear,Petals for Armor,"Mmm, I don't wanna shut you out",,I don't wanna rush around or slow down,1
Crystal Clear,Petals for Armor,I don't wanna rush around or slow down,"Mmm, I don't wanna shut you out","This time, I wanna stay right here",1
Crystal Clear,Petals for Armor,"This time, I wanna stay right here",I don't wanna rush around or slow down,I wanna make it crystal clear,1
Crystal Clear,Petals for Armor,I wanna make it crystal clear,"This time, I wanna stay right here",That I won't give in to the fear,1
Crystal Clear,Petals for Armor,That I won't give in to the fear,I wanna make it crystal clear,,1
Crystal Clear,Petals for Armor,Crystal clear,,I won't give in to the fear,2
Crystal Clear,Petals for Armor,I won't give in to the fear,Crystal clear,Crystal clear,8
Crystal Clear,Petals for Armor,Crystal clear,I won't give in to the fear,I won't give in to the fear,6
Crystal Clear,Petals for Armor,Crystal clear,I won't give in to the fear,,2
Crystal Clear,Petals for Armor,I remember standing on the edge,,Closing my eyes,1
Crystal Clear,Petals for Armor,Closing my eyes,I remember standing on the edge,"Counting to three, I",1
Crystal Clear,Petals for Armor,"Counting to three, I",Closing my eyes,Jump in with the rush in my head,1
Crystal Clear,Petals for Armor,Jump in with the rush in my head,"Counting to three, I",Only to find the water was concrete,1
Crystal Clear,Petals for Armor,Only to find the water was concrete,Jump in with the rush in my head,And now you're pumpin' air to my lungs,1
Crystal Clear,Petals for Armor,And now you're pumpin' air to my lungs,Only to find the water was concrete,This don't feel anything like sinking,1
Crystal Clear,Petals for Armor,This don't feel anything like sinking,And now you're pumpin' air to my lungs,"In fact, no matter how deep I go",1
Crystal Clear,Petals for Armor,"In fact, no matter how deep I go",This don't feel anything like sinking,"Into you, it looks like the water is crystal clear",1
Crystal Clear,Petals for Armor,"Into you, it looks like the water is crystal clear","In fact, no matter how deep I go",You might also like[Chorus: Hayley Williams],1
Crystal Clear,Petals for Armor,You might also like[Chorus: Hayley Williams],"Into you, it looks like the water is crystal clear",Crystal clear,1
Crystal Clear,Petals for Armor,Crystal clear,You might also like[Chorus: Hayley Williams],I won't give in to the fear,1
Crystal Clear,Petals for Armor,I won't give in to the fear,Crystal clear,Crystal clear (Clear),1
Crystal Clear,Petals for Armor,Crystal clear (Clear),I won't give in to the fear,,1
Crystal Clear,Petals for Armor,Here we go,,Gonna risk it again,1
Crystal Clear,Petals for Armor,Gonna risk it again,Here we go,Let's hope it's the last time,1
Crystal Clear,Petals for Armor,Let's hope it's the last time,Gonna risk it again,We don't know,1
Crystal Clear,Petals for Armor,We don't know,Let's hope it's the last time,How this could end,1
Crystal Clear,Petals for Armor,How this could end,We don't know,Let's hope it won't have to (Hmm),1
Crystal Clear,Petals for Armor,Let's hope it won't have to (Hmm),How this could end,Won't have to (Hmm),1
Crystal Clear,Petals for Armor,Won't have to (Hmm),Let's hope it won't have to (Hmm),,1
Crystal Clear,Petals for Armor,Friends or lovers,,(Clear) Won't give in to the fear,1
Crystal Clear,Petals for Armor,(Clear) Won't give in to the fear,Friends or lovers,"Friends or lovers, which will it be?",1
Crystal Clear,Petals for Armor,"Friends or lovers, which will it be?",(Clear) Won't give in to the fear,It's a feeling (Friends or lovers),1
Crystal Clear,Petals for Armor,It's a feeling (Friends or lovers),"Friends or lovers, which will it be?",(Clear) I'm still right here,1
Crystal Clear,Petals for Armor,(Clear) I'm still right here,It's a feeling (Friends or lovers),"Friends or lovers, which will it be?",1
Crystal Clear,Petals for Armor,"Friends or lovers, which will it be?",(Clear) I'm still right here,,1
Dead Horse,Petals for Armor,"Alright, it took me three days to send you this, but",,"Uh, sorry, I was in a depression",1
Dead Horse,Petals for Armor,"Uh, sorry, I was in a depression","Alright, it took me three days to send you this, but",But I'm trying to come out of it now,1
Dead Horse,Petals for Armor,But I'm trying to come out of it now,"Uh, sorry, I was in a depression",,1
Dead Horse,Petals for Armor,Every morning I wake up,,"From a dream of you, holding me",1
Dead Horse,Petals for Armor,"From a dream of you, holding me",Every morning I wake up,Underwater (Is that a dream or a memory?),1
Dead Horse,Petals for Armor,Underwater (Is that a dream or a memory?),"From a dream of you, holding me",Held my breath for a decade,1
Dead Horse,Petals for Armor,Held my breath for a decade,Underwater (Is that a dream or a memory?),Dyed my hair blue to match my lips,1
Dead Horse,Petals for Armor,Dyed my hair blue to match my lips,Held my breath for a decade,Cool of me to try (Pretty cool I'm still alive),1
Dead Horse,Petals for Armor,Cool of me to try (Pretty cool I'm still alive),Dyed my hair blue to match my lips,,1
Dead Horse,Petals for Armor,"I beat it like a dead horse, I beat it like a drum",,"Oh, I stayed with you too long",2
Dead Horse,Petals for Armor,"Oh, I stayed with you too long","I beat it like a dead horse, I beat it like a drum","Skipping like a record, but I sang along",3
Dead Horse,Petals for Armor,"Skipping like a record, but I sang along","Oh, I stayed with you too long",To a silly little song,3
Dead Horse,Petals for Armor,To a silly little song,"Skipping like a record, but I sang along","I said I beat it like a dead horse, I beat it like a drum",3
Dead Horse,Petals for Armor,"I said I beat it like a dead horse, I beat it like a drum",To a silly little song,"Oh, I stayed with you too long",3
Dead Horse,Petals for Armor,"Oh, I stayed with you too long","I said I beat it like a dead horse, I beat it like a drum","Skipping like a record, but I sang along",3
Dead Horse,Petals for Armor,"Skipping like a record, but I sang along","Oh, I stayed with you too long",A shitty never-ending song,1
Dead Horse,Petals for Armor,A shitty never-ending song,"Skipping like a record, but I sang along",,1
Dead Horse,Petals for Armor,Sometimes it's good to be the bigger person,,But I'm so small I can't compare,1
Dead Horse,Petals for Armor,But I'm so small I can't compare,Sometimes it's good to be the bigger person,"And after all, it's only fair, yeah",1
Dead Horse,Petals for Armor,"And after all, it's only fair, yeah",But I'm so small I can't compare,"I got what I deserved, I was the other woman first",1
Dead Horse,Petals for Armor,"I got what I deserved, I was the other woman first","And after all, it's only fair, yeah",Other others on the line,1
Dead Horse,Petals for Armor,Other others on the line,"I got what I deserved, I was the other woman first",But I kept trying to make it work,1
Dead Horse,Petals for Armor,But I kept trying to make it work,Other others on the line,You might also like[Chorus],1
Dead Horse,Petals for Armor,You might also like[Chorus],But I kept trying to make it work,"I beat it like a dead horse, I beat it like a drum",1
Dead Horse,Petals for Armor,"I beat it like a dead horse, I beat it like a drum",You might also like[Chorus],"Oh, I stayed with you too long",1
Dead Horse,Petals for Armor,"Skipping like a record, but I sang along","Oh, I stayed with you too long",To your shitty little song,1
Dead Horse,Petals for Armor,To your shitty little song,"Skipping like a record, but I sang along",,1
Dead Horse,Petals for Armor,"Ya-ya-ya-ya, ya-ya-ya-ya",,Ya-ya-ya-ya-ya-ya-ya,2
Dead Horse,Petals for Armor,Ya-ya-ya-ya-ya-ya-ya,"Ya-ya-ya-ya, ya-ya-ya-ya","Ya-ya-ya, ya-ya-ya-ya",3
Dead Horse,Petals for Armor,"Ya-ya-ya, ya-ya-ya-ya",Ya-ya-ya-ya-ya-ya-ya,Ya-ya-ya-ya-ya-ya-ya,3
Dead Horse,Petals for Armor,Ya-ya-ya-ya-ya-ya-ya,"Ya-ya-ya, ya-ya-ya-ya",,1
Dead Horse,Petals for Armor,"When I said goodbye, I hope you cried",,"When I said goodbye, I hope you cried",1
Dead Horse,Petals for Armor,"When I said goodbye, I hope you cried","When I said goodbye, I hope you cried","When I said goodbye, I hope you cried",2
Dead Horse,Petals for Armor,"When I said goodbye, I hope you cried","When I said goodbye, I hope you cried",,1
Dead Horse,Petals for Armor,"Skipping like a record, but I sang along","Oh, I stayed with you too long",And now you get another song,1
Dead Horse,Petals for Armor,And now you get another song,"Skipping like a record, but I sang along",,1
Dead Horse,Petals for Armor,Ya-ya-ya-ya-ya-ya-ya,"Ya-ya-ya, ya-ya-ya-ya",(Now you get another song),2
Dead Horse,Petals for Armor,(Now you get another song),Ya-ya-ya-ya-ya-ya-ya,"Ya-ya-ya-ya, ya-ya-ya-ya",1
Dead Horse,Petals for Armor,"Ya-ya-ya-ya, ya-ya-ya-ya",(Now you get another song),Ya-ya-ya-ya-ya-ya-ya,1
Dead Horse,Petals for Armor,(Now you get another song),Ya-ya-ya-ya-ya-ya-ya,,1
Leave It Alone,Petals for Armor,Don't nobody tell me,,That God don't have a sense of humor,1
Leave It Alone,Petals for Armor,That God don't have a sense of humor,Don't nobody tell me,'Cause now that I want to live,1
Leave It Alone,Petals for Armor,'Cause now that I want to live,That God don't have a sense of humor,"Well, everybody around me is dying",1
Leave It Alone,Petals for Armor,"Well, everybody around me is dying",'Cause now that I want to live,Now that I finally wanna live,1
Leave It Alone,Petals for Armor,Now that I finally wanna live,"Well, everybody around me is dying",The ones I love are dyin',1
Leave It Alone,Petals for Armor,The ones I love are dyin',Now that I finally wanna live,Becoming friends with a noose that I made,1
Leave It Alone,Petals for Armor,Becoming friends with a noose that I made,The ones I love are dyin',And I keep tryin' to untie it,1
Leave It Alone,Petals for Armor,And I keep tryin' to untie it,Becoming friends with a noose that I made,Make it into something useful,1
Leave It Alone,Petals for Armor,Make it into something useful,And I keep tryin' to untie it,Or maybe hang it through a window pane,1
Leave It Alone,Petals for Armor,Or maybe hang it through a window pane,Make it into something useful,Turn it into a fire escape,1
Leave It Alone,Petals for Armor,Turn it into a fire escape,Or maybe hang it through a window pane,,1
Leave It Alone,Petals for Armor,It tastes so bitter on my tongue,,The truth's a killer,1
Leave It Alone,Petals for Armor,The truth's a killer,It tastes so bitter on my tongue,But I can't leave it alone,2
Leave It Alone,Petals for Armor,But I can't leave it alone,The truth's a killer,But I can't leave it alone,3
Leave It Alone,Petals for Armor,But I can't leave it alone,But I can't leave it alone,But I can't leave it alone,4
Leave It Alone,Petals for Armor,But I can't leave it alone,But I can't leave it alone,,1
Leave It Alone,Petals for Armor,You don't remember my name somedays,,Or that we're related,1
Leave It Alone,Petals for Armor,Or that we're related,You don't remember my name somedays,It triggers my worry,1
Leave It Alone,Petals for Armor,It triggers my worry,Or that we're related,Who else am I gonna lose before I am ready?,1
Leave It Alone,Petals for Armor,Who else am I gonna lose before I am ready?,It triggers my worry,And who's gonna lose me?,1
Leave It Alone,Petals for Armor,And who's gonna lose me?,Who else am I gonna lose before I am ready?,You might also like[Chorus],1
Leave It Alone,Petals for Armor,You might also like[Chorus],And who's gonna lose me?,It tastes so bitter on my tongue,1
Leave It Alone,Petals for Armor,It tastes so bitter on my tongue,You might also like[Chorus],The truth's a killer,1
Leave It Alone,Petals for Armor,But I can't leave it alone,But I can't leave it alone,But I can't leave it a-,2
Leave It Alone,Petals for Armor,But I can't leave it a-,But I can't leave it alone,,1
Leave It Alone,Petals for Armor,If you know love,,You best prepare to grieve,1
Leave It Alone,Petals for Armor,You best prepare to grieve,If you know love,Let it enter your open heart and,1
Leave It Alone,Petals for Armor,Let it enter your open heart and,You best prepare to grieve,Then prepare to let it leave,1
Leave It Alone,Petals for Armor,Then prepare to let it leave,Let it enter your open heart and,,1
Leave It Alone,Petals for Armor,It tastes so bitter,,The truth's a killer,1
Leave It Alone,Petals for Armor,The truth's a killer,It tastes so bitter,But I can't leave it alone,1
Leave It Alone,Petals for Armor,But I can't leave it a-,But I can't leave it alone,But I can't leave it a-,1
Leave It Alone,Petals for Armor,But I can't leave it a-,But I can't leave it a-,,1
My Friend,Petals for Armor,"Mmm, ah",,,1
My Friend,Petals for Armor,Little wrinkle by your eye,,I never noticed 'til right now,1
My Friend,Petals for Armor,I never noticed 'til right now,Little wrinkle by your eye,Little vicious tiger stripes,1
My Friend,Petals for Armor,Little vicious tiger stripes,I never noticed 'til right now,If you get closer to my thighs,1
My Friend,Petals for Armor,If you get closer to my thighs,Little vicious tiger stripes,When you're walkin' with a limp,1
My Friend,Petals for Armor,When you're walkin' with a limp,If you get closer to my thighs,I can remember wolves at your heels,1
My Friend,Petals for Armor,I can remember wolves at your heels,When you're walkin' with a limp,When my shadow barges in,1
My Friend,Petals for Armor,When my shadow barges in,I can remember wolves at your heels,You never question why she is here,1
My Friend,Petals for Armor,You never question why she is here,When my shadow barges in,"(Eh-eh, eh-eh, eh-eh, eh-eh)",1
My Friend,Petals for Armor,"(Eh-eh, eh-eh, eh-eh, eh-eh)",You never question why she is here,,1
My Friend,Petals for Armor,"My friend, when the blood has dried",,"My friend, instant alibi",1
My Friend,Petals for Armor,"My friend, instant alibi","My friend, when the blood has dried",You've seen me from every side,2
My Friend,Petals for Armor,You've seen me from every side,"My friend, instant alibi",Still down for the ride,2
My Friend,Petals for Armor,Still down for the ride,You've seen me from every side,"Ooh, my friend, you know why",1
My Friend,Petals for Armor,"Ooh, my friend, you know why",Still down for the ride,,2
My Friend,Petals for Armor,Not a secret I can't keep,,All of your good and your evil,1
My Friend,Petals for Armor,All of your good and your evil,Not a secret I can't keep,"Well, babe, you can leave it with me",1
My Friend,Petals for Armor,"Well, babe, you can leave it with me",All of your good and your evil,Safe together,1
My Friend,Petals for Armor,Safe together,"Well, babe, you can leave it with me",If it's wrong or if it's right,1
My Friend,Petals for Armor,If it's wrong or if it's right,Safe together,"I am beside you, famine or fi-ire",1
My Friend,Petals for Armor,"I am beside you, famine or fi-ire",If it's wrong or if it's right,"(I-ire, i-ire, i-ire, i-ire)",1
My Friend,Petals for Armor,"(I-ire, i-ire, i-ire, i-ire)","I am beside you, famine or fi-ire",You might also like[Chorus],1
My Friend,Petals for Armor,You might also like[Chorus],"(I-ire, i-ire, i-ire, i-ire)","My friend, when the blood has dried",1
My Friend,Petals for Armor,"My friend, when the blood has dried",You might also like[Chorus],"My friend, instant alibi",1
My Friend,Petals for Armor,Still down for the ride,You've seen me from every side,"Ooh, my friend",1
My Friend,Petals for Armor,"Ooh, my friend",Still down for the ride,,1
My Friend,Petals for Armor,Who could take your place?,,Who could take mine?,1
My Friend,Petals for Armor,Who could take mine?,Who could take your place?,None could take your place,1
My Friend,Petals for Armor,None could take your place,Who could take mine?,None could take mine,1
My Friend,Petals for Armor,None could take mine,None could take your place,,1
My Friend,Petals for Armor,"My friend, when the blood has dried",,"My friend (We stay safe together, we stay safe together)",1
My Friend,Petals for Armor,"My friend (We stay safe together, we stay safe together)","My friend, when the blood has dried","Instant alibi (We stay safe together, escape death forever)",1
My Friend,Petals for Armor,"Instant alibi (We stay safe together, escape death forever)","My friend (We stay safe together, we stay safe together)",You've seen me from all sides,1
My Friend,Petals for Armor,You've seen me from all sides,"Instant alibi (We stay safe together, escape death forever)",Still down for the ride,1
My Friend,Petals for Armor,Still down for the ride,You've seen me from all sides,"Ooh, my friend, you know why",1
My Friend,Petals for Armor,We stay safe together,,We stay safe together,1
My Friend,Petals for Armor,We stay safe together,We stay safe together,We stay safe together,2
My Friend,Petals for Armor,We stay safe together,We stay safe together,Escape death forever,2
My Friend,Petals for Armor,Escape death forever,We stay safe together,Escape death forever,2
My Friend,Petals for Armor,Escape death forever,Escape death forever,Escape death forever,1
My Friend,Petals for Armor,Escape death forever,Escape death forever,We stay safe together,2
My Friend,Petals for Armor,We stay safe together,Escape death forever,We stay safe together,1
My Friend,Petals for Armor,We stay safe together,Escape death forever,Escape death forever,1
My Friend,Petals for Armor,Escape death forever,We stay safe together,,1
Over Yet,Petals for Armor,If there's resistance,,If there's resistance,1
Over Yet,Petals for Armor,If there's resistance,If there's resistance,It makes you stronger,3
Over Yet,Petals for Armor,It makes you stronger,If there's resistance,It's not the end,2
Over Yet,Petals for Armor,It's not the end,It makes you stronger,If there's resistance,1
Over Yet,Petals for Armor,If there's resistance,It's not the end,If there's resistance,1
Over Yet,Petals for Armor,It makes you stronger,If there's resistance,Make it your friend,1
Over Yet,Petals for Armor,Make it your friend,It makes you stronger,,1
Over Yet,Petals for Armor,When there's persistence,,When there's persistence,1
Over Yet,Petals for Armor,When there's persistence,When there's persistence,You can go farther,2
Over Yet,Petals for Armor,You can go farther,When there's persistence,Beyond the end,1
Over Yet,Petals for Armor,Beyond the end,You can go farther,If in the distance,1
Over Yet,Petals for Armor,If in the distance,Beyond the end,There's more resistance,1
Over Yet,Petals for Armor,There's more resistance,If in the distance,Try to stay open,1
Over Yet,Petals for Armor,Try to stay open,There's more resistance,Make it your friend,1
Over Yet,Petals for Armor,Make it your friend,Try to stay open,,1
Over Yet,Petals for Armor,It's the right time,,To come alive,3
Over Yet,Petals for Armor,To come alive,It's the right time,"Baby, if you wanna try",6
Over Yet,Petals for Armor,"Baby, if you wanna try",To come alive,"To get out of your head, yes",6
Over Yet,Petals for Armor,"To get out of your head, yes","Baby, if you wanna try",Break a sweat,6
Over Yet,Petals for Armor,Break a sweat,"To get out of your head, yes","Baby, tell yourself it ain't over yet",6
Over Yet,Petals for Armor,"Baby, tell yourself it ain't over yet",Break a sweat,It's the right time,3
Over Yet,Petals for Armor,It's the right time,"Baby, tell yourself it ain't over yet",To come alive,3
Over Yet,Petals for Armor,"Baby, tell yourself it ain't over yet",Break a sweat,You might also like[Verse 3],1
Over Yet,Petals for Armor,You might also like[Verse 3],"Baby, tell yourself it ain't over yet",If there's resistance,1
Over Yet,Petals for Armor,If there's resistance,You might also like[Verse 3],If there's resistance,1
Over Yet,Petals for Armor,It's not the end,It makes you stronger,When there's persistence,1
Over Yet,Petals for Armor,When there's persistence,It's not the end,When there's persistence,1
Over Yet,Petals for Armor,You can go farther,When there's persistence,Make it your friend,1
Over Yet,Petals for Armor,Make it your friend,You can go farther,,1
Over Yet,Petals for Armor,"Baby, tell yourself it ain't over yet",Break a sweat,,2
Over Yet,Petals for Armor,For every darkened part of me,,For every darkened part of me,1
Over Yet,Petals for Armor,For every darkened part of me,For every darkened part of me,For every darkened part of me,1
Over Yet,Petals for Armor,For every darkened part of me,For every darkened part of me,,1
Over Yet,Petals for Armor,It's the right time,,To get out of your head,1
Over Yet,Petals for Armor,To get out of your head,It's the right time,,1
Pure Love,Petals for Armor,Huh,,,1
Pure Love,Petals for Armor,The opposite,,The opposite of love is fear,1
Pure Love,Petals for Armor,The opposite of love is fear,The opposite,I'm still trying to get (Hm),1
Pure Love,Petals for Armor,I'm still trying to get (Hm),The opposite of love is fear,Used to how the former feels,1
Pure Love,Petals for Armor,Used to how the former feels,I'm still trying to get (Hm),'Cause it feels so new,1
